Address,LocationName
"130 W Maxwell Blvd, Montgomery, AL 36112-6613",Community College of the Air Force
"4900 Meridian Street, Normal, AL 35762",Alabama A & M University
"1200 Taylor Rd, Montgomery, AL 36117-3553",Amridge University
"301 Sparkman Dr, Huntsville, AL 35899",University of Alabama at Huntsville
"915 S Jackson Street, Montgomery, AL 36104",Alabama State University
"739 University Boulevard, Tuscaloosa, AL 35487-0100",The University of Alabama
"1675 Cherokee Road, Alexander City, AL 35010",Central Alabama Community College
"300 N Beaty St, Athens, AL 35611",Athens State University
"7440 East Drive P.O. Box 244023, Montgomery, AL 36117-3596",Auburn University-Montgomery
"107 Samford Hall, Auburn University, AL 36849",Auburn University Main Campus
"900 Arkadelphia Road, Birmingham, AL 35254",Birmingham Southern College
"2602 College Dr, Phenix City, AL 36869",Chattahoochee Valley Community College
"1804 Green Street, Selma, AL 36701",Concordia College Alabama
"600 Plaza Drive, Enterprise, AL 36330-1300",Enterprise State Community College
"1900 US Hwy 31 S, Bay Minette, AL 36507-2698",James H. Faulkner State Community College
"5345 Atlanta Hwy, Montgomery, AL 36109-3378",Faulkner University
"3225 Rainbow Drive Suite 246, Rainbow City, AL 35906",Gadsden Business College
"1001 George Wallace Dr., Gadsden, AL 35902-0227",Gadsden State Community College
"1141 Wallace Drive, Dothan, AL 36303-9234",George C Wallace Community College
"801 Main St. P. O. Box 2000, Hanceville, AL 35077-2000",Wallace State Community College  - Hanceville
"3000 Earl Goodwin Parkway, Selma, AL 36703-2808",George Corley Wallace State Community College - Selma
"1500 East Fairview Avenue, Montgomery, AL 36106-2148",Huntingdon College
"3625 Helton Dr, PO Box HCU, Florence, AL 35630-9977",Heritage Christian University
"3421 Meridian St North, Huntsville, AL 35811",J.F. Drake State Community and Technical College
"5375 Ingram Road, Deatsville, AL 36022",J F Ingram State Technical College
"700 Pelham Road North, Jacksonville, AL 36265",Jacksonville State University
"220 Alco Dr, Brewton, AL 36426",Jefferson Davis Community College
"2601 Carson Rd, Birmingham, AL 35215-3098",Jefferson State Community College
"6250 U S Highway 31 N, Tanner, AL 35671",Calhoun Community College
